GSIName,OrigName,SrcName,Type,Depth_m,Dpth-Rck_m,DTRConfid,DrillDate,Easting,Northing,Loc_Acc,Townland,Town,County,SixInShtNo,SourceUse,YldClass,ProdClass,Yield_m3d,Abstr_m3d,Ovrflw_m3d,AbstrDDm,SC_m3dm,cas1dia_mm,Wtrstrk1_m,Wtrstrk2_m,Wtrstrk3_m,Wtrstrk4_m,Wtrloss1_m,GenComms,DrillComms,CasingComs,Depth,,,
1127SWW001,,,Unknown,68.6,,DTB Unknown,,121530,277470,to 500m,BALLYGLASS,Claremorris,Mayo,100,Agri & domestic use,Moderate,,54.5,,,,,,,,,,,unknown,,"23/7/69,snad spoiled well and could not put down pipe.Second well bored to 35.1m,24.4m away. Yield of 21.8m3/d (poor)",51to500m,,,
1129NWW002,MO WG 185,,Borehole,56.4,6.7,Bedrock Met,15/09/1999,117860,300810,to 500m,GREENANS,Ross,Mayo,60,Agri & domestic use,Poor,V,14.2,,,12.2,1.2,152.0,39.6,,,,,"Drilled by Dullea, Donegal","1st turn after Ross village, about 3 miles from village, near B+B",6 hr test; chemical data available,51to500m,,,
1129NWW003,,,Borehole,36.6,,DTB Unknown,,118290,305200,to 500m,TERRYDUFF,Lough Conn,Mayo,48,Agri & domestic use,,,,,,,,,,,,,,unknown,,,51to500m,,,
1129SWW004,,,Borehole,114.3,,DTB Unknown,,118480,291300,to 500m,WINDSOR,Turlough,Mayo,79,Agri & domestic use,Good,,163.6,,,,,,,,,,,unknown,,Well has not yet had a pump put in it and is not topped,51to500m,,,
1131SWW002,,,Dug well,0.9,,DTB Unknown,,111050,319030,to 500m,KNOCKBAUN,Crossmolina,Mayo,29,Agri & domestic use,Good,,109.0,,,,,,,,,,,unknown,,17-5-1972,51to500m,,,
1131SWW003,,,Borehole,15.3,,DTB Unknown,,122990,313430,to 500m,CORROY,Ballina,Mayo,39,Agri & domestic use,Good,,158.0,,,,,250.0,,,,,,unknown,,1955,51to500m,,,
1131SWW005,,,Unknown,32.6,,DTB Unknown,,111960,312350,to 500m,DERVIN,Castlehill,Mayo,38,Agri & domestic use,,,,,,,,,,,,,,unknown,,,51to500m,,,
1131SWW006,,,Borehole,17.1,,DTB Unknown,,111970,312300,to 500m,DERVIN,Castlehill,Mayo,38,Agri & domestic use,,,,,,,,,15.2,,,,,unknown,,,51to500m,,,
1429NWW005,MO WG 064,,Borehole,38.4,9.0,Bedrock Presumed,23/07/1998,149030,300640,to 500m,BULCAUN,Charlestown,Mayo,63,Agri & domestic use,Moderate,,76.4,,,,,152.0,,,,,,"Drilled by Tom Connell, Blackrock; 
Approx. DtB inferred from steel casing depth",site map included but no accurate location,chemical data available,51to500m,,,
1429NWW007,,,Borehole,18.6,,DTB Unknown,,140700,304940,to 500m,BELLANACURRA,Charlestown,Mayo,50,Agri & domestic use,Poor,,10.9,,,,,,,,,,,unknown,,Jan-97,51to500m,,,
0527SEW001,MO WG 173,,Borehole,51.8,1.2,Bedrock Met,15/08/1999,75190,270900,to 1km,CORRAGAUN,Louisburg,Mayo,96,Agri & domestic use,Poor,,10.9,,,,,152.0,42.7,48.8,,,,"Drilled by Boland Bros, Enniscrone","From Killadoon P.O. travel approx 3 miles towards Silver Strand, cross small bridge, on RHS.","
Chemical data available",over500m,,,
0825NEW003,,Gaeltanna Eireann,Borehole,33.5,4.6,Bedrock Met,,109450,269190,to 1km,TRENLAUR,Tourmakeady,Mayo,109,Agri & domestic use,Failure,,,,,,,,,,,,,unknown,,,over500m,,,
0833SEW001,,,Dug well,2.4,,DTB Unknown,,103410,339070,to 1km,BEHY,Belderg,Mayo,6,Agri & domestic use,Good,,109.0,,,,,,,,,,,unknown,,Date of test Sept 1972,over500m,,,
1125NEW013,,Charlestown Wss,Spring,,,,,129670,266130,to 1km,BUSHFIELD,Lisnamoyle,Mayo,110,Public supply (Co Co),Intermediate Spring,,1200.0,,,,,,,,,,,,Info from Public Supplies in Co. Mayo 02-07-02,The yield represents half of the amount it used to supply,over500m,,,
1125NWW002,WTB/MYO/492 and WTB/MYO/508,,Borehole,20.7,2.4,Bedrock Met,,122490,263210,to 1km,CARROWKEEL,Ballinrobe,Mayo,118,Agri & domestic use,Good,,109.1,,,,,,,,,,,,Joint work between Carrowkeel and Ballytrasna,"Oct 1966 info arrived, yield taken May 1965",over500m,,,
1127NEW004,,,Unknown,45.7,,DTB Unknown,,126380,283140,to 1km,ARDBOLEY,Balla,Mayo,90,Agri & domestic use,Good,,109.0,,,,,150.0,,,,,,unknown,,,over500m,,,
1127NWW001,,,Borehole,29.9,3.7,Bedrock Met,01/05/1971,123950,282740,to 1km,BROWNHALL,Ballycarra,Mayo,90,Agri & domestic use,,,,,,,,,,,,,,unknown,,,over500m,,,
1129SEW001,,,Borehole,19.8,13.7,Bedrock Met,,133440,292430,to 1km,KILLEDAN,,Mayo,71,Domestic use only,Good,,130.9,,,,,,,,,,,unknown,infront of dwelling house,"Excellent spring at 15.24m, good quality water",over500m,,,
1129SEW003,MO WG 262,,Borehole,79.3,13.7,Bedrock Met,15/08/2001,136420,290050,to 1km,CARRICK,Kiltimagh,Mayo,80,Agri & domestic use,Poor,,10.9,,,,,152.0,54.9,67.1,73.2,,,"Drilled by Patrick Briody, Rathangan",,Estimated Yield; cham. data available,over500m,,,
1131NWW001,ILC 675,Land Commission,Borehole,11.1,3.1,Bedrock Met,,120950,328860,to 1km,MEELICK,Killala,Mayo,22,Agri & domestic use,Moderate,II,27.3,,,,108.0,,6.1,,,,,unknown,,"bailing @ 98.2m3/d, failed to lower water level past 4.6m. Jan 1960",over500m,,,
1131NWW001,,,Borehole,45.1,1.2,Bedrock Met,01/05/1970,114030,325100,to 1km,BALLINTUBBER,,Mayo,21,,Poor,,98.2,,,,,,,,,,,WTB/Myo 2737,,,over500m,,,
1131NWW002,,Culleens National School,Unknown,43.9,4.9,Bedrock Met,,123630,322360,to 1km,CULLEENS,,Mayo,30,Agri & domestic use,Good,,21.8,,,,,,,,,,,Driller Mr Boland,"For new national school, Jan 1967",109-218m3/d overflowing in Jan 1967; Later record for April 1967 says 33 m3/d,over500m,,,
1131NWW002,,,Borehole,16.8,1.5,Bedrock Met,01/09/1973,116170,328270,to 1km,BALLYGOWAN,,Mayo,21,Domestic use only,Poor,,109.0,,,,,,,,,,,WTB/MYO 4178,,,over500m,,,
1131NWW003,,,Borehole,19.8,6.1,Bedrock Met,12/06/1962,112150,324520,to 1km,ARDVARNEY,,Mayo,21,,Poor,,28.0,,,,,,,,,,,WTB/MYO 307,,,over500m,,,
1131NWW003,,Land Commission Well,Borehole,14.0,10.1,Bedrock Met,01/11/1958,124280,321540,to 1km,FARRANNOO,Ballina,Mayo,30,Agri & domestic use,Good,,109.0,,,,,,,,,,,unknown,,Oct/Nov 1958,over500m,,,
1131NWW004,EPA May17,Killala WS,Borehole,,,,,120300,329700,to 1km,KILLALA,Meelick,Mayo,22,Group Scheme,,,27.3,,,,,,,,,,,,EPA grid refs supplied. Info from EPA GW sources Mar 2002,Quantity 160m3/d,over500m,,,
1131NWW006,,,Borehole,33.2,0.6,Bedrock Met,01/04/1970,120750,326930,to 1km,BALLLINTEEAN,,Mayo,22,,Poor,,32.7,,,,,,,,,,,"WTB/MYO 1610, 1759, 1827",,,over500m,,,
1131NWW007,,,Borehole,29.3,1.5,Bedrock Met,01/06/1972,123830,326830,to 1km,BALLYSAKEERY,,Mayo,22,,Moderate,,55.0,,,,,,,,,,,WTB/MYO 2984,,,over500m,,,
1131NWW008,,,Borehole,13.7,2.1,Bedrock Met,01/04/1973,123830,326730,to 1km,BALLYSAKEERY,,Mayo,22,,Poor,,32.7,,,,,,,,,,,WTB/MYO 3923,,,over500m,,,
1131NWW009,,,Borehole,30.2,7.6,Bedrock Met,01/09/1974,123830,326630,to 1km,BALLYSAKEERY,,Mayo,22,,Poor,,21.8,,,,,,,,,,,WTB/MYO 4269,,"Steel Casing, Max Safe yield: 
32.7m3/day",over500m,,,
1131NWW010,,,Dug well,2.7,,DTB Unknown,01/09/1973,122600,327350,to 1km,NEWTOWN WHITE,,Mayo,22,,Poor,,28.0,,,,,,,,,,,WTB/MYO 4351,,,over500m,,,
1131NWW011,,,Unknown,20.7,2.4,Bedrock Met,01/09/1971,121900,328950,to 1km,MOYNE,,Mayo,22,,Poor,,21.8,,,,,,,,,,,,,,over500m,,,
1131NWW012,,,Dug well,1.5,0.0,Bedrock Met,01/09/1973,121900,328850,to 1km,MOYNE,,Mayo,22,,Moderate,,55.0,,,,,,,,,,,WTB/MYO 2331,,,over500m,,,
1131NWW013,,,Borehole,16.8,13.1,Bedrock Met,,120670,328730,to 1km,MEELICK,,Mayo,22,,Poor,,21.8,,,,,,,,,,,,,,over500m,,,
1131NWW014,,,Borehole,24.4,3.4,Bedrock Met,01/09/1971,117330,327170,to 1km,CLOONFADDA,,Mayo,22,,Poor,,21.8,,,,,,,,,,,,,,over500m,,,
1131NWW015,,,Borehole,19.8,4.3,Bedrock Met,01/07/1973,121150,323170,to 1km,FARRANNASCULLOGE,,Mayo,22,,Moderate,,44.0,,,,,,,,,,,WTB/MYO 3967,,,over500m,,,
1131NWW016,,,Borehole,45.7,2.4,Bedrock Met,01/01/1972,122030,326950,to 1km,RATHGLASS EAST,,Mayo,22,,Poor,,33.0,,,,,,,,,,,WTB/MYO 3257,,,over500m,,,
1131NWW017,,,Borehole,40.5,1.8,Bedrock Met,01/02/1970,123350,328150,to 1km,RUSHEENS,,Mayo,22,,Poor,,22.0,,,,,,,,,,,WTB/MYO 2493,,,over500m,,,
1131NWW018,,,Borehole,8.8,3.1,Bedrock Met,09/06/1971,122470,325300,to 1km,ROSSERK,,Mayo,22,,Poor,,22.0,,,,,,,,,,,,,,over500m,,,
1131NWW019,,,Borehole,18.3,9.1,Bedrock Met,01/10/1970,112210,323550,to 1km,RATHGLASS WEST,,Mayo,29,,Poor,,27.3,,,,,,,,,,,WTB/MYO 3179,,,over500m,,,
1131NWW020,,,Borehole,35.1,4.6,Bedrock Met,18/12/1973,122630,320230,to 1km,ARDOUGHAN,,Mayo,30,,Poor,,33.0,,,,,,,,,,,WTB/MYO 4268,,,over500m,,,
1131NWW022,,,Borehole,31.7,2.4,Bedrock Met,01/03/1973,119730,322950,to 1km,RATHBALL,,Mayo,30,,Poor,,32.7,,,,,,,,,,,,,,over500m,,,
1131NWW023,,,Dug well,3.7,3.7,Bedrock Presumed,13/09/1971,122400,322200,to 1km,CULLEENS,,Mayo,30,,Poor,,22.0,,,,,,,,,,,,,,over500m,,,
1131NWW025,,,Borehole,19.8,3.1,Bedrock Met,20/09/1973,122400,322400,to 1km,CULLEENS,,Mayo,30,,Poor,,33.0,,,,,,,,,,,WTB/MYO 3029,,,over500m,,,
1131NWW026,,,Dug well,0.9,0.9,Bedrock Presumed,28/06/1973,122400,322500,to 1km,CULLEENS,,Mayo,30,,Poor,,21.8,,,,,,,,,,,WTB/Myo 4048,,,over500m,,,
1131NWW029,,,Dug well,4.6,4.3,Bedrock Met,18/06/1962,120370,322170,to 1km,CLOONAGH MORE,,Mayo,30,,Poor,,27.3,,,,,,,,,,,,,,over500m,,,
1131NWW030,,,Borehole,25.0,4.9,Bedrock Met,12/03/1971,123250,323170,to 1km,RATHROEEN,,Mayo,30,,Good,,22.0,,,,,,,,,,,,,,over500m,,,
1131NWW031,,,Borehole,6.7,6.7,Bedrock Presumed,,123250,323070,to 1km,RATHROEEN,,Mayo,30,,Poor,,22.0,,,,,,,,,,,,,,over500m,,,
1131SWW007,,,Borehole,37.5,4.0,Bedrock Met,,120190,317940,to 1km,CRANNAGH,Ballina,Mayo,30,Agri & domestic use,Failure,,0.1,,,,,,,,,,,unknown,Jan-63,,over500m,,,
1131SWW008,WTB/MYO/253,,Dug well,4.6,,Bedrock Not Met,,123380,315850,to 1km,BALLYNARAHA,Ballina,Mayo,39,Agri & domestic use,,,,,,,,,,,,,,unknown,,Apr-65,over500m,,,
1131SWW009,,Bunnyconnellan WSS,Spring,,,,,120560,313840,to 1km,NEWTOWN,Ballina,Mayo,39,Public supply (Co Co),Intermediate Spring,,1818.0,,,,,,,,,,,,"Info from Public Supplies in Co. Mayo 02-07-02.
Streams from springs",,over500m,,,
1133NWW001,MO WG 095,,Borehole,36.6,2.4,Bedrock Met,14/09/1998,117640,340050,to 1km,CREEVAGH,Rathlacken,Mayo,7,Agri & domestic use,Poor,,16.4,,,,,152.0,18.3,30.5,,,,"Drilled by Boland Bros, Enniscrone",V rough site map included,3 hr test,over500m,,,
1133SWW001,MO WG 161,,Borehole,61.0,8.5,Bedrock Met,28/06/2000,115650,339940,to 1km,DOONADOBA,Ballycastle,Mayo,7,Agri & domestic use,Poor,V,34.9,,,12.2,2.9,152.0,14.6,42.7,,,,"Drilled by Dullea, Donegal","From Ballycastle, out past graveyard, 5miles. Bungalow on RHS with red roof surrounded by trees","4 hr test
Chemical data available",over500m,,,
1133SWW004,MO WG 120,,Borehole,45.7,0.9,Bedrock Met,14/09/1998,117870,339510,to 1km,CREEVAGH,Carrowmore,Mayo,7,Agri & domestic use,Poor,,109.1,,,,,,24.4,39.6,,,,"Drilled by Boland Bros, Enniscrone",Directions given on form,3 hr test; chemical data avialable,over500m,,,
1425NWW009,,,Borehole,,,,,141080,268530,to 1km,IRISHTOWN,Claremorris,Mayo,101,Agri & domestic use,,,,,,,,150.0,,,,,,unknown,,"Jan1922-March 1922, old well, yield nil @9.3m. Yield unlimited @19.7m",over500m,,,
1427NWW501,,,Spring,,,,,149480,287280,to 1km,TOOREEN,,Mayo,82,,Intermediate Spring,,,,,,,,,,,,,,Water rises at the end of the ditch with small sand volcanoes where water is rising.,"good flow from it.
Water Quality good.",over500m,,,
1429SWW004,MO WG220,,Borehole,99.1,5.5,Bedrock Met,10/04/2000,153630,299300,to 1km,CASHELDUFF,Charlestown,Mayo,63,Agri & domestic use,Poor,V,2.3,,,,0.0,152.0,15.2,105.2,,,,"Drilled by Dullea, Donegal",,24 hr test,over500m,,,
0831SEW005,Bellacorrick Power Station,E.S.B,Borehole,160.0,19.8,Bedrock Met,,96650,319220,to 2km,BELLACORICK,,Mayo,27,Industrial use,Good,,218.0,,,,,,,,,,,unknown,,"Rotary, 6 BH drilled, others were up to 36m deep in overburden",over500m,,,
1125NEW015,ILC 1380A,,Unknown,33.5,,DTB Unknown,,130630,264370,to 2km,ROOS,Lisnamoyle,Mayo,119,Agri & domestic use,Good,III,152.7,,,,37.1,,,,,,,unknown,NGR's supplied. Info from Geoff Wrights check list CORKSCS,,over500m,,,
1125SEW113,,,Borehole,15.2,,DTB Unknown,,129330,254050,to 2km,DALGAN,Shrule,Mayo,122,Agri & domestic use,Good,,109.0,,,,,,,,,,,,,04/10/1970,over500m,,,
1131NWW005,,,Borehole,44.2,1.8,Bedrock Met,01/02/1971,114200,324800,to 2km,GLESGART,,Mayo,21,,Poor,,21.8,,,,,,,,,,,WTB/MYO 2502,,,over500m,,,
0531SEW001,,,Borehole,28.0,4.3,Bedrock Met,,72950,317830,to 5km,ROY,Gweesalia,Mayo,34,Agri & domestic use,Failure,,2.7,,,,,,,,,,,unknown,,,over500m,,,
1125NEW011,,,Borehole,64.6,2.4,Bedrock Met,23/02/1977,126230,268330,to 5km,HOLLYMOUNT,Claremorris,Mayo,100,Agri & domestic use,Poor,,21.8,,,,,150.0,,,,,,unknown,,Good quality,over500m,,,
1127NEW006,,"Treanagleara, Kiltimagh PWS",Spring,,,,,131560,289870,to 5km,TREANNAGLEARA,Kiltamagh,Mayo,80,Public supply (Co Co),,,,,,,,,,,,,,,,,over500m,,,
1127NWW002,,Mayo Co Op Creameries,Borehole,30.8,8.8,Bedrock Met,,115100,289200,to 5km,CASTLEBAR,,Mayo,78,Agri & domestic use,Good,,327.3,,,,,125.0,,,,,,unknown,on Castlebar road to Ballinrobe,Boring of 125mm 3/3/1931 and 25/5/1931,over500m,,,
