Winery,Address,City,Website,Phone,NWP,App,Cave,Tours,Notes/Labels,,,,,,,,
Daviana Winery,2456 Third Ave,Napa,www.davianawinery.com,251-0173,X,Private,,,,,,,,,,,
Davis Estates,,,www.davisestates.com,,,,,,,,,,,,,,
David Arthur Vineyards,1521 Sage Canyon Road,St. Helena,www.davidarthur.com,963-5190,X,Yes,,,210 Long Ranch Road,,,,,,,,
David Fulton Winery,825 Fulton Lane,St. Helena,www.davidfultonwinery.com,967-0719,X,Yes,,,,,,,,,,,
Dead Man's Wine,3212 Jefferson St. #122,Napa,www.deadmanswine.com,,,Private,,,,,,,,,,,
Decades 5,2370 Market St #127,SF,www.decades5.com,,,Private,,,One wine - SF Address,,,,,,,,
Deguello Wine,500 Dallas St. Suite 500,Dallas TX,www.deguellowine.com,713 298-2878,,Private,,,"Made in Sonoma, Crushpad??",,,,,,,,
Del Bondio Family Winery,1333 Bella Oaks Lane,Napa,www.delbondio.com,963-2805,X,Yes,,,,,,,,,,,
Del Dotto Estate,1445 Highway 29,St. Helena,www.deldottovineyards.com,963-2134,X,Yes,,,,,,,,,,,
Del Dotto Vineyards,11055 Atlas Peak Road,Napa,www.deldottovineyards.com,963-2134,X,Yes,Yes,BApp,Owns Harrison Vineyards,,,,,,,,
Delectus Winery,908 Enterprise Way #C,Napa,www.delectuswinery.com,255-1252,X,Yes,,,,,,,,,,,
Delgadillo Cellars,995 Vintage Ave #103,St. Helena,www.dcellars.com,963-1729,X,Private,,,,,,,,,,,
Dearden Wines,,,www.deardenwines.com,,,,,,Multiple labels,,,,,,,,
Derenoncourt California,,,www.derenoncourtcalifornia.com,,,Private,,,,,,,,,,,
DeSante Wines,P.O. Box 1027,St. Helena,www.desantewines.com,968-9264,,Private,,,,,,,,,,,
Destino Wines,1325 Imola Ave West,Napa,www.destinowines.com,800 8621737,X,Private,,,VINTNER'S COLLECTIVE,,,,,,,,
Detert Family Vineyards,1746 Vineyard Ave,St. Helena,www.detert.com,877 817-0466,X,Private,,,,,,,,,,,
Diamond Creek Vineyards,1500 Diamond Mountain Rd,Calistoga,www.diamondcreekvineyards.com,942-6926,X,Private,,,,,,,,,,,
Diamond Terrace,1391 Diamond Mtn. Road,Calistoga,www.diamondterrace.com,942-1189,X,Yes,,,Wine made at Outpost,,,,,,,,
Di Costanzo,,,www.mdcwines.com,,,,,,,,,,,,,,
Dillon Vineyards,6206 Washington Street,Yountville,www.dillonvineyards.com,944-1588,,Private,,,,,,,,,,,
Dolce,P.O. Box 327,Oakville,www.dolcewine.com,944-8868,X,Private,Yes,,"Made at Far Niente, has own Cave",,,,,,,,
Domain Chandon,1 California Drive,Yountville,www.chandon.com,944-2280,X,No,,Yes,,,,,,,,,
Domain Charbay,4001 Spring Mountain Road,St. Helena,www.charbay.com,963-9327,X,Yes,,BApp,,,,,,,,,
Domain Georg Rafael,2222 Third Ave,Napa,www.georgrafaelvineyards.com,254-9489,,Private,,,,,,,,,,,
Domaine Carneros,1240 Duhig Rd,Napa,www.domaine.com,800 716-2788,X,No,,Yes,,,,,,,,,
Dominus Estate,2570 Napanook Road,Yountville,www.dominusestate.com,944-8954,X,Private,,,Napanook,,,,,,,,
Dos Lagos,,Napa,www.doslagosvineyards.net,415 279-9227,X,Private,,,,,,,,,,,
Dovehill Vineyards,,,www.facebook.com/dovehillvineyards,,,,,,,,,,,,,,
Drinkward Peschon,1547 Main Street,St. Helena,www.drinkwardpeschon.com,963-6156,,Private,,,,,,,,,,,
Duckhorn,1000 Lodi Lane,Calistoga,www.duckhornvineyards.com,963-7108,X,Yes,,BApp,,,,,,,,,
Due Vigne di Familia Wines,3272 Hagen Road,Napa,www.duevigne.com,,,Private,,,SILENUS,,,,,,,,
Dunn Vineyards,805 White Cottage Road,Angwin,www.dunnvineyards.com,965-3642,X,Private,Yes,,,,,,,,,,
Dusinberre Cellars,1091 Larkmead Lane ,St. Helena,www.winecal.com,326-3220,X,Private,,,,,,,,,,,
Dutch Henry Winery,4310 Silverado Trail,Calistoga,www.dutchhenry.com,942-5771,X,No,Yes,,,,,,,,,,
Dyer Wine,1501 Diamond Mountain Rd,Calistoga,www.dyerwine.com,942-5502,X,Private,,,,,,,,,,,
Eagle and Rose Estate,,St. Helena,www.eagleandrose.com,965-9463,X,Yes,Yes,,"A DOZEN VINTNERS, Skyhawk Cellars",,,,,,,,
Eagle Eye,6595 Gordon Valley Road,Napa,www.eagleeyewine.com,427-1600,X,Private,,,,,,,,,,,
Eagle's Trace,680 Rossi Road,St. Helena,www.eaglestrace.com,963-4412,X,Yes,Yes,,,,,,,,,,
Edge,P.O. Box 4234,Napa,www.edgewines.com,258-9766,X,Private,,,,,,,,,,,
Edge Hill,P.O. Box 105,Oakville,www.edgehill.com,944-8577x112,X,Private,,,"Rudd, Ghost Winery, 1-3 wines/year",,,,,,,,
Edict Wines,,,www.edictwines.com,,,,,,,,,,,,,,
Eeden Wines,24 Coronado Ave,Los Altos,www.eedenwines.com,650 949-1752,X,Private,,,Spring Mountain,,,,,,,,
Egelhoff Wines,1397 Sylvaner Ave,St. Helena,www.bobegelhoff.com,963-4015,X,Private,,,At Amizetta,,,,,,,,
Ehlers Estate,3222 Ehlers Lane ,St. Helena,www.ehlersestate.com,963-5972,X,No,,,www.leducq.com,,,,,,,,
El Molino Winery,3781 Silverado Trail,St. Helena,www.elmolinowinery.com,963-3632,X,Yes,Yes,,,,,,,,,,
Elan Vineyards,4500 Atlas Peak Road,Napa,www.elanvineyards.com,252-3339,X,Yes,,,,,,,,,,,
Eleven Eleven Wines,,,www.elevenelevenwines.com,,,,,,,,,,,,,,
Elizabeth Spencer,1165 Rutherford Road ,Rutherford,www.elizabethspencerwines.com,963-6067,X,No,,,,,,,,,,,
Elkhorn Peak Cellars,200 Polson Road,Napa,www.elkhornpeakcellars.com,255-0504,X,Yes,,,Pinot noir,,,,,,,,
Ellicock Family Winery,P.O. Box 931,Yountville,www.anterrawine.com,257-2930,,Private,,,Anterra Wines,,,,,,,,
Ellman Family Vineyards,3212 Jefferson St. #238,Napa,www.ellmanfamilyvineyards.com,260-7654,,Private,,,Becomes a Napa Winery 14' harvest,,,,,,,,
Elo Winery,,,www.facebook.com/EloWinery,,,,,,,,,,,,,,
Elyse,2100 Hoffman Lane,Napa,www.elysewinery.com,944-2900 ,X,Yes,,,Jacob Franklin,,,,,,,,
Emerson Brown Wines,4281 Dale Drive,Napa,www.emersonbrownwines.com ,257-1686,,Private,,,,,,,,,,,
EMH Vineyards,25 Rosedale Road,Calistoga,www.emhvineyards.com,942-1393,,Private,,,Black Cat Cabernet,,,,,,,,
Emmolo Wine Co.,P.O. Box 741,Rutherford,www.emmolowines.com,963-6075,X,Private,,,,,,,,,,,
Encanto Vineyards,Vintage Lane,St. Helena,www.encantovineyards.com,967-9934,X,Private,,,,,,,,,,,
Entres Nous,7688 St. Helena Highway,Oakville,www.entrenouswines.com,982-8000,X,Private,,,"Kristin Ashe, Prescott Ashe",,,,,,,,
Envy Wines,1170 Tubbs Lane,Calistoga,www.envywines.com,942-4670,X,Yes,,,"Carter Cellars, Vine Hill",,,,,,,,
Eonian Wines,,,www.eonianwines.com,,,,,,,,,,,,,,
Eponymous,P.O. Box 438,Oakville,www.eponymouswines.com,257-7393,X,Private,,,,,,,,,,,
Erba Mountainside,P.O. Box 3349,Napa,www.erbavineyards.com,320-8722,X,Private,,,,,,,,,,,
Erna Schein,4078 Spring Mountain Rd.,St. Helena,www.ernaschein.com,942-4433,X,Yes,,,Formerly: Behrens & Hitchcock,,,,,,,,
Esca,1613 Main Street,Napa,www.escawines.com,251-9029,X,Private,,,Also Ilaria Wines,,,,,,,,
Etude,1250 Cuttings Wharf Road,Napa,www.etudewines.com,257-5300,X,Yes,,BApp,,,,,,,,,
Euclid,,,www.euclidwines.com,,,,,,,,,,,,,,
Failla,3530 Silverado Trail,St. Helena,www.faillawines.com ,963-0530,X,Yes,Yes,,,,,,,,,,
Fairchild Family Vineyards,P.O. Box 807,St. Helena,www.fairchildwines.com,866 725-7503,X,Private,,,,,,,,,,,
Falcor Wine Cellars,1606 Main Street #206,Napa,www.falcorwines.com,255-6070,X,Yes,,,,,,,,,,,
Fantesca Estate,2920 Spring Mountain Road,St. Helena,www.fantesca.com,968-9229,X,Private,Yes,,"Hands on Harvest Event, Adopt a Grape",,,,,,,,
Far Niente ,1350 Acacia Drive ,Oakville,www.farniente.com,944-2861,X,Yes,Yes,Yes,,,,,,,,,
Farella Vineyard,2222 North Third Avenue ,Napa,www.farella.com,254-9489,X,Yes,Yes,BApp,Alta Wines,,,,,,,,
Faustini Wines,270 Kruezer Lane,Napa,www.faustiniwines.com,736-6050,X,Yes,,,,,,,,,,,
Favia Wine,5074 Old Sonoma Road,Napa,www.faviawine.com,812-2546,,Private,,,Levithian label,,,,,,,,
Ferdinand Wines,,,www.ferdinandwines.com,,,,,,Non Napa sources?,,,,,,,,
Fir Hill Ranch,1853 Fir Hill Drive,St. Helena,http://firhillranch.wordpress.com,287-8605,,Private,,,,,,,,,,,
Fifty Row,,,www.fiftyrow.com,,,Private,,,# Wine made in Sonoma?,,,,,,,,
Five Vintners,1985 Vineyard Ave,St. Helena,www.fivevintners.com,688-9219,,Private,,,,,,,,,,,
Fleury Estate,950 Galleron Lane ,Rutherford,www.fleurywinery.com,974-9951,X,Yes,,,,,,,,,,,
Flora Springs Estate,1978 West Zinfandel Lane,St. Helena,www.florasprings.com,967-6723,X,Yes,Yes,,,,,,,,,,
"Flora Springs, The Room",677 S. St. Helena Hwy,St. Helena,www.florasprings.com,967-8032,X,No,,,,,,,,,,,
Flying Horse Winery,1600 Aetna Springs Road,Pope Valley,www.flyinghorsewines.com,965-1600,X,Yes,,,,,,,,,,,
Foley Johnson,8350 St. Helena Highway,Rutherford,www.sawyercellars.com,963-1980,X,Yes,,BApp,,,,,,,,,
Folie A Deux,7481 St. Helena Highway ,Oakville,www.folieadeux.com,944-2565,X,No,,,,,,,,,,,
Folio Wines,1285 Dealy Lane,Napa,www.foliowine.com,253-2757,X,No,,,"Oberon, Medusa, Spellbound, Emblem, more!",,,,,,,,
Fontanella Family Winery,1721 Partrick Road,Napa,www.fontanellawinery.com,252-1017,X,No,,,,,,,,,,,
Forlorn Hope Wines,2787 Indiana Street,Napa,www.forlornhopewines.com,256-9980,,Private,,,,,,,,,,,
Forman Vineyards,1501 Big Rock Road,St. Helena,www.formanvineyard.net,963-3900,X,Yes,,,Margaret,,,,,,,,
Fortunati Vineyards,986 Salvador Ave,Napa,www.fortunativineyards.com,255-9300,,Private,,,,,,,,,,,
Four Cairn,P.O. Box 241,Rutherford,www.fourcairn.com,927-0769,,Private,,,,,,,,,,,
Fotinos Brothers Winery,2762 Pine Street,Napa,www.fotinosbrotherswinery.com,224-4464,X,Private,,,5034 Old Sonoma Road,,,,,,,,
Franciscan Oakville Estate,1178 Galleron Road ,St. Helena,www.franciscan.com,967-3993 ,X,No,,Yes,Mt. Veeder Winery,,,,,,,,
Frank Family Vineyards,1091 Larkmead Lane ,Calistoga,www.frankfamilyvineyards.com,800 574-9463 ,X,No,,Yes,"Promise Winery, Winston Hill",,,,,,,,
Franus Wine Company,2055 Hoffman Lane,Yountville,www.peterfranus.com,945-0542,X,Yes,,,,,,,,,,,
Franz Hill Vineyard,P.O. Box 168,St. Helena,www.franzhillvineyard.com,963-0230,,Private,,,,,,,,,,,
Frazier Winery,70 Rapp Lane,Napa,www.frazierwinery.com,255-3444,X,Yes,Yes,BApp,,,,,,,,,
Freemark Abbey,3022 St Helena Highway N,St. Helena,www.freemarkabbey.com,963-9698 X241,X,No,,,,,,,,,,,
Frias Family Vineyard,3125 North St. Helena Hwy,St. Helena,www.friasfamilyvineyard.com,415 566-2419,X,Yes,,,,,,,,,,,
Frog's Leap Winery,8815 Conn Creek Road,Rutherford,www.frogsleap.com,963-4704,X,Yes,,BApp,,,,,,,,,
Front Row Wines,,St. Helena,www.frontrowwines.com,495-1289,,,,,,,,,,,,,
Fuse Wine,P.O. Box 2041,Napa,www.fusewine.com,265-6492,,Private,,,,,,,,,,,
Futo Family Estate,P.O. Box 410,Oakville,www.futowines.com,944-9333,X,Private,,,,,,,,,,,
G Wine Cellars,44 N. Blue Oak Lane,Napa,www.gwinecellars.com,363-0680,X,Private,,,,,,,,,,,
Gallegos Wines,,,www.gallegoswines.com,,,,,,,,,,,,,,
Galerie Wines,,,www.galeriewines.com,,,,,,,,,,,,,,
Galleron Signature Wines,P.O. Box 2,Rutherford,www.galleronwine.com,265-6552,,Yes,,,All  old vintages on website?,,,,,,,,
Gallica Wine,P.O. Box 808,St. Helena,www.gallicawine.com,963-1096,,Private,,,,,,,,,,,
Gamble Family Vineyards,P.O. Box 128,Oakville,www.gamblefamilyvineyards.com,9444-2999,X,Private,,,,,,,,,,,
Gandona Estate,1535 Sage Canyon Road,St. Helena,www.gandona.com,967-5550,X,Yes,,,,,,,,,,,
Gardienne,,,www.gardiennewines.com,,,,,,,,,,,,,,
Gargiulo Vineyards,575 Oakville Crossroad,Napa,www.gargiulovineyards.com,944-2770 ,X,Yes,,BApp,,,,,,,,,
Garric Cellars,,Calistoga,www.garric-cellars.com,877 442-7742,X,Private,,,,,,,,,,,
Gauthier Cellars,1339 Pearl St #201,Napa,www.gauthiercellars.com,287-5897,,Private,,,Napa based? Fruit all over CA,,,,,,,,
Gemstone Vineyard,7153 Silverado Trail,Napa,www.gemstonewine.com,944-0944,X,Private,,,Made at V. 29,,,,,,,,
Gentleman Farmer Wines,6633 Yount Street,Yountville,www.gentlemanfarmerwines.com,,X,Private,,,Taste at Silenus,,,,,,,,
Ghost Horse World,680 Rossi Road,St. Helena,www.ghosthorseworld.com,322-8025,X,Private,Yes,,,,,,,,,,
Givich Vineyards,6015 Steele Canyon Road,Sunnyvale,www.givichvineyards.com,650 697-4427,,Private,,,,,,,,,,,
Girard Winery,6795 Washington Street,Yountville,www.girardwinery.com,968-9297,X,Yes,Yes,Yes,"WINERIES OF NV, Yountvile Troom, Stonefly label",,,,,,,,
Glencar Wines,,Napa,www.glencarwines.com,,,Private,,,"MAZE Wines, Shawn Johnson",,,,,,,,
Godspeed Vineyards,3655 Mount Veeder Rd,Napa,godspeedvineyards.webs.com,254-7766,X,Yes,,,,,,,,,,,
Goosecross Cellars,1119 State Lane,Yountville,www.goosecross.com,944-1986,X,No,,No,Aeros,,,,,,,,
Grace Family Vineyards,1210 Rockland Drive,St. Helena,www.gracefamilyvineyards.com,963-0808,X,Private,,,500th visit,,,,,,,,
Grade Cellars,P.O. Box 22,Calistoga,www.thegradevineyard.com,967-8200,,Private,,,,,,,,,,,
Grassi Wine Company,1213 Coombs Street,Napa,www.grassiwines.com,224-7142,X,Private,,,,,,,,,,,
Grasso Vineyard,1050 Olive Hill Lane,Napa,www.grassovineyard.com,252-1999,,Private,,,,,,,,,,,
Green & Red Vineyard,3208 Chiles-Pope Valley,Napa,www.greenandred.com,965-2346,X,Private,,,,,,,,,,,
Greyscale Wines,P.O. Box 213,Orinda,www.greyscalewines.com,925 255-5187,,Private,,,# Wine made in Sonoma?,,,,,,,,
Grgich Hills,1829 St. Helena Highway ,Rutherford,www.grgich.com ,963-2784,X,No,,BApp,,,,,,,,,
Gridley Family Cellars,P.O. Box 2383,St. Helena,www.gridleyfamilycellars.com,965-9900,X,Yes,,,,,,,,,,,
Groth,750 Oakville Cross Road,Oakville,www.grothwines.com,944-0290,X,Yes,,BApp,,,,,,,,,
Guilliams,3851 Spring Mountain Rd,St. Helena,None,963-9059,X,Yes,,No,,,,,,,,,
Gustavo Thrace,1146 First St,Napa,www.gustavothrace.com,257-6796,X,Yes,,,,,,,,,,,
Haber Family Winery,167 Parrot Road,New York,www.haberfamilyvineyards.com,845 638-3188,X,Private,,,,,,,,,,,
Habitat Wines,P.O. Box 434,Oakville,www.habitatwines.com,866 422-4818,,Private,,,,,,,,,,,
Hagafen Cellars,4160 Silverado Trail ,Napa,www.hagafen.com,252-0781 ,X,No,,BApp,Don Ernesto Wines,,,,,,,,
Hall Winery St. Helena,401 St. Helena Highway S,St. Helena,www.hallwines.com,967-2620,X,No,Yes,BApp,Other: Location Wine Caves Auberge,,,,,,,,
"Hall Winery, Rutherford",56 Auberge Road,Rutherford,www.hallwines.com,967-0700,X,Yes,,,,,,,,,,,
Handwritten,,St. Helena,www.handwrittenwines.com,,X,,,,,,,,,,,,
Harlan Estate,1567 Oakville Grade,Oakville,www.harlanestate.com,944-1441,X,Private,Yes,,600th visit,,,,,,,,
Harris Estate,225 Franz Valley School Rd,Calistoga,www.harrisestatevineyards.com,942-1513,X,Private,,,,,,,,,,,
Hartwell Vineyards,5795 Silverado Trail,Napa,www.hartwellvineyards.com,255-4269,X,Yes,Yes,BApp,,,,,,,,,
Hayfork Wine Co,1795 Lewelling Lane,St. Helena,www.hayforkwine.com,227-4438,X,Private,,,,,,,,,,,
HdV Vineyards,588 Trancas Street,Napa,www.hdvwines.com,251-9978,X,Yes,,,De La Guerra Label,,,,,,,,
Heibel Ranch Vineyards,1241 Adams St. #1043,St. Helena,www.hrvwines.com,968-9289,X,Yes,,,Ranch tour & tasting,,,,,,,,
Heitz Cellars,436 St. Helena Highway S,St. Helena,www.heitzcellar.com,963-3542,X,No,,BApp,,,,,,,,,
Helena View Johnston,3500 Highway 128,Calistoga,www.helenaview.com,942-4956,X,Yes,Yes,BApp,,,,,,,,,
Hendry,3104 Redwood Road,Napa,www.hendrywines.com,226-8320,X,Yes,,,,,,,,,,,
Hensley Family,,,www.hensleyfamilyvineyards.com,,,,,,,,,,,,,,
Herb Lamb Vineyard,P.O. Box 225,St. Helena,www.herblambvineyard.com,967-9752,X,Private,,,www.twoolddogs.com 1080 Fulton,,,,,,,,
Hersly,,,www.herslywines.com,,,,,,Napa winery based?,,,,,,,,
Hesperian Wines,Atlas Peak Road,Napa,www.hesperianwines.com,927-3787,X,Private,,,,,,,,,,,
Hess Collection,4411 Redwood Road,Napa,www.hesscollection.com ,255-1144,X,No,,,,,,,,,,,
Hestan Vineyards,6548 Washington Street,Yountville,www.hestan.com,551-2882,X,Yes,,,"TR Yountville, Meyer & Stephanie",,,,,,,,
Hidden Ridge,4225 Solano Ave,Napa,www.hiddenridgevineyard.com,707 481-7021,,Private,,,Napa/Sonoma County Line?,,,,,,,,
Highlands Winery,P.O. Box 3239,Napa,www.highlandswinery.com,603-2096,X,Private,,,,,,,,,,,
Hill Family Estate,6512 Washington Street,Yountville,www.hillfamilyestate.com ,944-9580,X,No,,,,,,,,,,,
Hill Wine Company,P.O. Box 688,Rutherford,www.hillwinecompany.com,855 445-9463,X,Private,,,Leasing old Kent Rasmussen Winery,,,,,,,,
Hobel,,,www.hobelwines.com,,,,,,,,,,,,,,
Hollywood & Vine Cellars,P.O. Box 63,Rutherford,www.hollywoodandvinewine.com,967-9128,X,Private,,,,,,,,,,,
Holman Cellars,,,www.holmancellars.com,,,,,,,,,,,,,,
Holman Cellars,,Calistoga,www.homagevineyard.com,,X,Yes,,,,,,,,,,,
Honig Winery,850 Rutherford Road ,Rutherford,www.honigwine.com,963-5618 x318,X,Yes,,,,,,,,,,,
Hoopes Family,1380 Yount Mill Road,Napa,www.hoopesvineyard.com,944-1869,X,Private,,,"NWCO, Also Hoopla - owns Liparita Cellars",,,,,,,,
Hope & Grace,6540 Washington Street,Yountville,www.hendrickswines.com,944-2500,X,No,,,Hendricks wine,,,,,,,,
Hopper Creek Winery,6204 Washington Street,Yountville,www.hoppercreek.com,944-0675,X,Yes,,,Tues-Sun 11-4,,,,,,,,
Hourglass,"1104 Adams St., Ste 103",St. Helena,www.hourglasswines.com,968-9332,X,Private,,,,,,,,,,,
Houdini Wines,,St. Helena,www.houdiniwines.com,,,Private,,,Briar Creek Cellars,,,,,,,,
Howell At The Moon,1221 Jones Street,SF,www.howellatthemoonwine.com,415 310-8628,X,Private,,,,,,,,,,,
Hudson Vineyards,5398 Carneros Highway,Napa,www.hudsonvineyards.com,255-1455,X,Private,,,,,,,,,,,
Hugo Family Cellars,24 Geraldine Court,Napa,www.hugofamilycellars.com,927-3319,,Private,,,50% grapes from Sonoma?,,,,,,,,
Humanitas Wine Co,1081 Round Hill Circle,Napa,www.humanitaswines.com,259-0349,X,Private,,,Donates proceeds to charity,,,,,,,,
Hundred Acre,P.O. Box 380,Rutherford,www.hundredacre.com,967-9398,,Private,,,,,,,,,,,
Hunnicutt Wines,2611 Colombard Court,St. Helena,www.hunnicuttwines.com,963-2908,X,Private,,,,,,,,,,,
Hunter III Wines,3340 Highway 128 ,Calistoga,www.hunteriiiwines.com,968-0987,X,Private,,,,,,,,,,,
Husic Vineyards,189 Ridge Road,Napa,www.husicvineyards.com,812-4909,,Private,,,,,,,,,,,
Ideology Cellars,5225 Solano Avenue,Napa,www.ideologycellars.com,299-3930,X,Yes,,,This is the Silenus Vintners own label,,,,,,,,
Igneous Wines,P.O. Box 10098,Napa,www.igneouswines.com,253-2001,X,Private,,,,,,,,,,,
Ilaria,,,www.ilariawines.com,,,,,,,,,,,,,,
Ilsley,6275 Silverado Trail ,Napa,www.ilsleyvineyards.com,944-1621,X,Yes,,,SILENUS,,,,,,,,
Inglenook,1991 St. Helena Highway,St. Helena,www.inglenook.com,968-1100,X,No,Yes,Yes,,,,,,,,,
Inherit the Sheep,1189 Fourth Ave,Napa,www.inheritthesheep.com/,732-3037,X,Private,,,,,,,,,,,
J Gregory Cellars,P.O. Box 2747,Yountville,www.jgregorycellars.com,738-7050,,Private,,,,,,,,,,,
J. Moss Wines,P.O. Box 5783,Napa,www.jmosswines.com,647-3388,X,Yes,,,Puerta Dorada,,,,,,,,
Jack Brooks,P.O. Box 738,Calistoga,www.jbvineyard.com,942-1237,,Private,,,,,,,,,,,
Jaffe Estate,1240 Spring Street,St. Helena,www.jaffeestate.com,967-9146,X,Private,,,,,,,,,,,
Jake-Ryan Cellars,P.O. Box 541,Napa,www.jrcellars.com,363-8760,,Private,,,,,,,,,,,
James Cole,5014 Silverado Trail,Napa,www.jamescolewinery.com,251-9905 ,X,Yes,,,,,,,,,,,
James Creek,2249 James Creek Road,Pope Valley,www.jamescreekvineyards.com,965-2646,X,Yes,,,,,,,,,,,
Jana Wines,830 Fulton Lane,St. Helena,www.scottharveywines.com,968-9575,X,Private,,,"Scott Harvey, SILENUS, Amador TR",,,,,,,,
Jaqk Cellars,353 Broadway Street,SF,www.jaqkcellars.com,415 398-1630,X,Private,,,,,,,,,,,
Jarratt Wines,1925 Shoreham Drive,Charlotte,www.jarrattwines.com,704 490-7716,,Private,,,# Wine made in Sonoma?,,,,,,,,
Jarvis,2970 Monticello Rd,Napa,www.jarviswines.com,800 255-5280,X,Yes,Yes,BApp,,,,,,,,,
Jax Vineyards,3468 Highway 128,Calistoga,www.jaxvineyards.com/,415 341-5225,X,Private,,,,,,,,,,,
Jean Edwards,P.O. Box 667,Montville,www.jeanedwardscellars.com,973 402-8524,,Private,,,# Wine made in Sonoma?,,,,,,,,
Jelly Jar Wines,P.O. Box 465,Rutherford,www.jellyjarwine.com,738-3050,,Private,,,"Napa Wine Co, mostly non Napa fruit?",,,,,,,,
Jericho Canyon Vineyard,3292 Old Lawley Toll Road,Calistoga,www.jerichocanyonvineyard.com,942-9665,X,Yes,Yes,,,,,,,,,,
Jessup Cellars,6740 Washington Street,Yountville,www.jessupcellars.com,944-8523,X,No,,,,,,,,,,,
Jocelyn Lonen Winery,5055 Solano Avenue St. G,Napa,www.jocelynwines.com,257-2821,X,Private,,,,,,,,,,,
Joel Gott Wines,945 Main Street,St. Helena,www.gottwines.com,963-3365,,Private,,,"NAPA WINE CO, MA(I)SONRY",,,,,,,,
John Anthony,3230 Old Sonoma Road,Napa,www.javwine.com,265-7711,X,Private,,,"JAM Cellars, TR Downtown Napa",,,,,,,,
Johndrow Vineyards,,St. Helena,www.johndrowvineyards.com,405 833-1544,,Private,,,forumvineyards.com,,,,,,,,
Jon Nathaniel,1978 W. Zinfandel Lane,St. Helena,www.jonnathanielwines.com,967-6754,X,Private,,,"Separate from Fsprings, Komes Fam.",,,,,,,,
Jones Family Vineyards,P.O. Box 352,Calistoga,www.joneswine.com,942-0467,X,Private,,,NAPA WINE CO,,,,,,,,
Joseph Cellars,4455 St. Helena Hwy,Calistoga,www.josephcellars.com,942-999,X,Private,,,,,,,,,,,
Joseph George,1559 Meridian Ave,San Jose,www.josephgeorge.com,408 448-9463,X,Private,,,,,,,,,,,
Joseph Kent Wines,1052 Caymus Street,Napa,www.josephkentwines.com,478-8363,,Private,,,,,,,,,,,
Joseph Phelps,200 Taplin Road,St. Helena,www.jpvwines.com,963-2745,X,Yes,,,,,,,,,,,
JP Harbison,7601 Silverado Trail,Napa,www.harbisonwines.com,916 422-1972,,Private,,,Makes 6 barrels at Miner Family,,,,,,,,
JR Wagner,,,www.jrwagner.com,888 579-2463,,Private,,,,,,,,,,,
JR Wines,197 Whistlestop,"Pittsford, NY",www.jrwines.com,204-8271,,Private,,,,,,,,,,,
Judd's Hill,2332 Silverado Trail,Napa,www.juddshill.com,255-2332,X,Yes,,BApp,,,,,,,,,
June Ray Wines,P.O. Box 61359,Sunnyvale,www.juneraywines.com,,,Private,,,# Made in Sonoma?,,,,,,,,
Juslyn Vineyards,2900 Spring Mountain Rd,St. Helena,www.juslynvineyards.com,265-1804,X,Yes,,,SILENUS,,,,,,,,
Kale Wines,,,www.kalewines.com,,,,,,,,,,,,,,
Kapcsandy Family Winery,1001 State Lane,Yountville,www.kapcsandywines.com,948-3100,X,Yes,,,"Thurs, Friday 2pm Sept onward",,,,,,,,
Karl Lawrence Cellars,1250 Las Posadas Road,Angwin,www.karllawrence.com,963-2943,X,Yes,,,,,,,,,,,
Kasten Wines,,,www.kastenwines.com,,,,,,,,,,,,,,
Kate's Vineyard,5211 Big Ranch Road,Napa,www.katesvineyard.com,255-2644,,Private,,,# Wine made in Mendo ????,,,,,,,,
Keever,P.O. Box 2906,Yountville,www.keevervineyards.com,944-0910,X,Yes,,,Tues-Sun,,,,,,,,
Kelham Vineyards,360 Zinfandel Lane,St. Helena,www.kelhamvineyards.com,963-2000,X,Yes,,BApp,,,,,,,,,
Kelleher Family Vineyards,P.O. Box 3543,Yountville,www.kelleherfamilyvineyards.com,866 531-2580,X,Private,,,Brix Restaurant owners,,,,,,,,
Kelly Fleming Wine,P.O. Box 1207,Calistoga,www.kellyflemingwines.com,942-6849,X,Private,Yes,,,,,,,,,,
Kenefick Ranch,2200 Picket Road,Calistoga,www.kenefickranch.com,942-6175,X,Private,,,,,,,,,,,
Kent Rasmussen Winery,1001 Silverado Trail,St. Helena,www.kentrasmussenwinery.com,963-5667,X,Private,,,,,,,,,,,
Kenzo Estate,8999 Wildhorse Valley Road,Napa,www.kenzoestate.com,259-5408,X,Private,,,,,,,,,,,
Kind Cellars,P.O. Box 84,Angwin,www.kindcellars.com,812-2994,X,Private,,,,,,,,,,,
Kiss Ridge Vineyard,P.O. Box 3766,Calistoga,www.kissridge.com,857-3455,,Private,,,,,,,,,,,
Kitchak Cellars,1094 Hardman Ave,Napa,www.kitchakcellars.com,225-2276,X,Yes,,,,,,,,,,,
Knighton Family Vineyards,,Calistoga,www.knightonfamilyvineyards.com,942-8386,,Private,,,,,,,,,,,
Kobalt Wines,P.O. Box 2624,Yountville,www.kobaltwines.com,258-1416,X,Private,,,Mark Herold,,,,,,,,
Kongsgaard,4050 Spring Mountain Road,St. Helena,www.kongsgaardwine.com,963-1391,X,Private,,,,,,,,,,,
Kristian Story Wines,100 Pratt Ave,St. Helena,www.kristianstory.com,637-5798,X,Private,,,,,,,,,,,
